Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
Uzbekistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.87,-4.54
Uzbekistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Upstream LDAR,50.96,-4.54
Angola,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-4.53
Equatorial Guinea,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-4.53
Democratic Republic of Congo,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.53
Democratic Republic of Congo,Africa,Oil,Unconventional oil,Upstream,Blowdown capture,0,-4.53
Democratic Republic of Congo,Africa,Gas,Offshore gas,Upstream,Blowdown capture,0,-4.53
Congo,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.53
Chad,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-4.53
Mozambique,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.53
Gabon,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.03,-4.53
Ghana,Africa,Gas,Offshore gas,Upstream,Blowdown capture,0,-4.53
Ghana,Africa,Oil,Offshore oil,Upstream,Blowdown capture,0.09,-4.53
Ghana,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.53
Ghana,Africa,Oil,Unconventional oil,Upstream,Blowdown capture,0,-4.53
Nigeria,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.18,-4.53
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.85,-4.53
Niger,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0,-4.53
Niger,Africa,Oil,Unconventional oil,Upstream,Blowdown capture,0,-4.53
Niger,Africa,Gas,Offshore gas,Upstream,Blowdown capture,0,-4.53
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-4.53
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.72,-4.53
Sudan,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.01,-4.53
South Sudan,Africa,Oil,Onshore conventional oil,Upstream,Blowdown capture,0.02,-4.53
Brazil,Central and South America,Oil,Onshore conventional oil,Upstream,Upstream LDAR,1.04,-4.52
Brazil,Central and South America,Gas,Onshore conventional gas,Upstream,Upstream LDAR,1.03,-4.52
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,0,-4.51
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,6.84,-4.51
Indonesia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,3.01,-4.51
Iran,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,17.72,-4.5
Iraq,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,2.08,-4.5
Kuwait,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,2.43,-4.5
