DATE,CPILFESL
1958-01-01,2.79720
1958-04-01,2.42775
1958-07-01,2.06659
1958-10-01,1.82232
1959-01-01,1.81406
1959-04-01,1.91874
1959-07-01,2.02475
1959-10-01,2.12528
1960-01-01,2.11581
1960-04-01,1.77187
1960-07-01,1.21279
1960-10-01,1.09529
1961-01-01,0.87241
1961-04-01,0.97933
1961-07-01,1.52505
1961-10-01,1.30011
1962-01-01,1.29730
1962-04-01,1.40086
1962-07-01,1.28755
1962-10-01,1.17647
1963-01-01,1.17396
1963-04-01,1.16897
1963-07-01,1.27119
1963-10-01,1.58562
1964-01-01,1.89873
1964-04-01,1.57563
1964-07-01,1.35983
1964-10-01,1.35276
1965-01-01,1.24224
1965-04-01,1.44778
1965-07-01,1.34159
1965-10-01,1.33470
1966-01-01,1.43149
1966-04-01,2.14067
1966-07-01,2.95316
1966-10-01,3.44478
1967-01-01,3.52823
1967-04-01,3.29341
1967-07-01,3.46192
1967-10-01,3.52595
1968-01-01,4.18695
1968-04-01,4.44444
1968-07-01,4.78011
1968-10-01,5.20341
1969-01-01,5.32710
1969-04-01,5.92044
1969-07-01,5.93066
1969-10-01,5.84532
1970-01-01,6.03372
1970-04-01,6.28821
1970-07-01,6.20155
1970-10-01,6.45709
1971-01-01,5.85774
1971-04-01,5.01233
1971-07-01,4.54177
1971-10-01,3.43176
1972-01-01,3.32016
1972-04-01,3.05164
1972-07-01,2.94802
1972-10-01,2.93210
1973-01-01,2.83091
1973-04-01,3.11314
1973-07-01,3.39111
1973-10-01,4.57271
1974-01-01,5.43155
1974-04-01,7.06922
1974-07-01,9.62099
1974-10-01,10.96774
1975-01-01,11.57375
1975-04-01,10.45392
1975-07-01,8.17819
1975-10-01,6.91214
1976-01-01,6.64137
1976-04-01,6.41345
1976-07-01,6.76091
1976-10-01,6.40483
1977-01-01,6.16845
1977-04-01,6.43651
1977-07-01,6.21762
1977-10-01,6.18966
1978-01-01,6.31285
1978-04-01,6.76196
1978-07-01,7.53388
1978-10-01,8.44920
1979-01-01,9.03836
1979-04-01,9.37178
1979-07-01,9.82863
1979-10-01,10.70020
1980-01-01,12.19277
1980-04-01,13.27684
1980-07-01,12.06976
1980-10-01,12.16036
1981-01-01,10.69588
1981-04-01,9.47631
1981-07-01,11.50696
1981-10-01,10.24623
1982-01-01,9.04152
1982-04-01,8.65604
1982-07-01,6.86743
1982-10-01,5.18732
1983-01-01,4.55516
1983-04-01,3.66876
1983-07-01,3.23024
1983-10-01,4.21233
1984-01-01,5.00340
1984-04-01,5.25784
1984-07-01,5.25965
1984-10-01,4.96221
1985-01-01,4.66775
1985-04-01,4.48287
1985-07-01,4.11132
1985-10-01,4.25798
1986-01-01,4.24280
1986-04-01,4.01471
1986-07-01,4.07047
1986-10-01,3.87387
1987-01-01,3.59477
1987-04-01,3.97761
1987-07-01,3.96964
1987-10-01,4.16305
1988-01-01,4.33037
1988-04-01,4.33551
1988-07-01,4.51993
1988-10-01,4.57952
1989-01-01,4.67290
1989-04-01,4.53558
1989-07-01,4.37819
1989-10-01,4.37898
1990-01-01,4.59559
1990-04-01,4.83242
1990-07-01,5.37828
1990-10-01,5.31401
1991-01-01,5.49837
1991-04-01,5.08055
1991-07-01,4.66422
1991-10-01,4.44230
1992-01-01,3.85531
1992-04-01,3.82075
1992-07-01,3.49977
1992-10-01,3.46741
1993-01-01,3.46013
1993-04-01,3.43026
1993-07-01,3.24617
1993-10-01,3.12779
1994-01-01,2.90144
1994-04-01,2.74544
1994-07-01,2.90393
1994-10-01,2.75130
1995-01-01,2.94877
1995-04-01,3.07824
1995-07-01,2.99173
1995-10-01,3.05714
1996-01-01,2.88522
1996-04-01,2.65450
1996-07-01,2.63700
1996-10-01,2.57774
1997-01-01,2.47917
1997-04-01,2.52525
1997-07-01,2.30831
1997-10-01,2.23375
1998-01-01,2.26056
1998-04-01,2.18719
1998-07-01,2.35433
1998-10-01,2.34101
1999-01-01,2.17181
1999-04-01,2.08253
1999-07-01,2.01265
1999-10-01,2.02059
2000-01-01,2.23951
2000-04-01,2.39894
2000-07-01,2.53664
2000-10-01,2.57848
2001-01-01,2.65454
2001-04-01,2.63789
2001-07-01,2.65714
2001-10-01,2.71403
2002-01-01,2.53165
2002-04-01,2.42631
2002-07-01,2.26705
2002-10-01,2.05710
2003-01-01,1.83422
2003-04-01,1.49149
2003-07-01,1.36149
2003-10-01,1.16421
2004-01-01,1.31625
2004-04-01,1.78077
2004-07-01,1.80816
2004-10-01,2.16420
2005-01-01,2.30769
2005-04-01,2.14031
2005-07-01,2.04668
2005-10-01,2.10155
2006-01-01,2.10526
2006-04-01,2.46133
2006-07-01,2.81784
2006-10-01,2.66754
2007-01-01,2.62690
2007-04-01,2.28810
2007-07-01,2.11930
2007-10-01,2.31034
2008-01-01,2.38809
2008-04-01,2.33625
2008-07-01,2.46667
2008-10-01,1.99951
2009-01-01,1.75369
2009-04-01,1.82999
2009-07-01,1.48027
2009-10-01,1.75022
2010-01-01,1.34009
2010-04-01,0.95261
2010-07-01,0.89634
2010-10-01,0.64557
2011-01-01,1.10595
2011-04-01,1.45118
2011-07-01,1.89818
2011-10-01,2.17432
2012-01-01,2.22848
2012-04-01,2.25290
2012-07-01,2.01773
2012-10-01,1.94900
2013-01-01,1.92917
2013-04-01,1.66135
2013-07-01,1.74478
2013-10-01,1.72315
2014-01-01,1.60251
2014-04-01,1.89651
2014-07-01,1.77404
2014-10-01,1.72710
2015-01-01,1.68842
2015-04-01,1.77700
2015-07-01,1.86081
2015-10-01,1.99420
2016-01-01,2.17000
2016-04-01,2.22453
2016-07-01,2.25004
2016-10-01,2.18236
2017-01-01,2.17701
2017-04-01,1.77746
2017-07-01,1.64248
2017-10-01,1.75581
2018-01-01,1.96396
2018-04-01,2.22308
2018-07-01,2.19534
2018-10-01,2.19684
2019-01-01,2.09910
2019-04-01,2.07022
2019-07-01,2.29405
2019-10-01,2.30326
2020-01-01,2.26085
2020-04-01,1.29050
2020-07-01,1.64782
2020-10-01,1.63948
2021-01-01,1.45281
2021-04-01,3.71856
2021-07-01,4.04780
2021-10-01,5.03049
2022-01-01,6.31882
2022-04-01,6.01406
2022-07-01,6.27814
2022-10-01,5.99126
2023-01-01,5.55878
2023-04-01,5.24069
2023-07-01,4.40722
2023-10-01,.
